angle,lux
0,0.0
10,0.7
20,3.0
30,6.6
40,9.3
50,11.0
60,10.0
70,7.9
80,4.8
90,1.0
100,0.0
110,0.0
120,0.0
130,0.0
140,0.0
150,0.0
160,0.0
170,0.0
180,0.0
190,0.6
200,3.8
210,6.9
220,9.6
230,11.0
240,11.0
250,7.7
260,4.5
270,1.2
280,0.0
290,0.0
300,0.0
310,0.0
320,0.0
330,0.0
340,0.0
350,0.0
