0	19.8
10	22.9
20	21.8
30	22.2
40	21
50	18
60	13.2
70	9
80	5.2
90	2.1
100	0.4
110	0
120	0.1
130	1.1
140	4.5
150	8.4
160	12
170	17.2
180	18.8
190	20.6
200	21.7
210	22.6
220	19.6
230	16.2
240	12.9
250	9.3
260	5.5
270	2.6
280	0.4
290	0
300	0.2
310	1.7
320	4.7
330	8.2
340	12.2
350	16.2
360	19.2
