angle,intensity
0,0
10,24
20,102
30,212
40,356
50,496
60,635
70,749
80,816
90,842
100,811
110,739
120,625
130,486
140,336
150,201
160,89
170,19
180,0
190,23
200,99
210,209
220,355
230,491
240,625
250,739
260,811
270,842
280,785
290,734
300,599
310,470
320,336
330,203
340,89
350,20
